,x,y,i
132,1888.7651,2445.5,5
133,1337.0245,2330.0,5
134,1337.0245,2330.0,5
135,839.7,2445.5,5
136,150.9,-205.4,0
137,153.04978,-432.33361,0
138,153.04978,-432.33361,0
139,1288.1466,-430.70503,0
140,1288.1466,-430.70503,0
141,1288.1466,584.65169,0
142,1288.1466,584.65169,0
143,1288.1466,1187.3906,0
144,1288.1466,1187.3906,0
145,1095.0844,1383.5839999999998,0
146,1095.0844,1383.5839999999998,0
147,969.46871,1418.2360999999999,0
148,969.46871,1418.2360999999999,0
149,1394.2561,1653.5754,0
150,1394.2561,1653.5754,0
151,1376.4386,1681.1669,0
152,1376.4386,1681.1669,0
153,900.25485,1421.3827999999999,0
154,900.25485,1421.3827999999999,0
155,900.25485,1380.6466999999998,0
156,900.25485,1380.6466999999998,0
157,966.14619,1380.6466999999998,0
158,966.14619,1380.6466999999998,0
159,1203.0,1153.1,0
160,1203.0,1153.1,0
161,1203.0,623.7,0
162,1203.0,623.7,0
163,985.2,406.96,0
164,985.2,406.96,0
165,1051.61,389.93,0
166,1051.61,389.93,0
167,1203.0,329.47895,0
168,1203.0,329.47895,0
169,1203.0,-55.111,0
170,1203.0,-55.111,0
171,930.86,-205.4,0
172,930.86,-205.4,0
173,150.9,-205.4,0
174,558.8,11.93,1
175,720.32,15.98,1
176,720.32,15.98,1
177,720.27,174.0,1
178,720.27,174.0,1
179,559.34,171.337,1
180,559.34,171.337,1
181,558.8,11.93,1
182,646.56,681.62,2
183,808.0629999999999,681.38,2
184,808.0629999999999,681.38,2
185,808.0629999999999,845.1800000000001,2
186,808.0629999999999,845.1800000000001,2
187,644.69,845.1800000000001,2
188,644.69,845.1800000000001,2
189,646.56,681.62,2
190,480.04184,1681.4069,3
191,642.07401,1681.1669,3
192,642.07401,1681.1669,3
193,642.07401,1844.9669,3
194,642.07401,1844.9669,3
195,478.70101000000005,1844.9669,3
196,478.70101000000005,1844.9669,3
197,480.04184,1681.4069,3
198,-19.0,-432.33361,4
199,-19.0,0.0,4
200,-19.0,0.0,4
201,0.0,0.0,4
202,0.0,0.0,4
203,0.0,33.0,4
204,0.0,33.0,4
205,-19.0,33.0,4
206,-19.0,33.0,4
207,-19.0,498.5,4
208,-19.0,498.5,4
209,0.0,498.5,4
210,0.0,498.5,4
211,0.0,531.5,4
212,0.0,531.5,4
213,-19.0,531.5,4
214,-19.0,531.5,4
215,-19.0,993.0,4
216,-19.0,993.0,4
217,0.0,993.0,4
218,0.0,993.0,4
219,-0.33674026,1026.0,4
220,-0.33674026,1026.0,4
221,-19.0,1026.0,4
222,-19.0,1026.0,4
223,-19.0,1484.4149,4
224,-19.0,1484.4149,4
225,0.0,1484.4149,4
226,0.0,1484.4149,4
227,0.0,1521.5,4
228,0.0,1521.5,4
229,-19.0,1521.5,4
230,-19.0,1521.5,4
231,-19.0,2030.0,4
232,-19.0,2030.0,4
233,0.0,2030.0,4
234,0.0,2030.0,4
235,0.0,2063.0,4
236,0.0,2063.0,4
237,-19.0,2063.0,4
238,-19.0,2063.0,4
239,-19.0,2490.0,4
240,-19.0,2490.0,4
241,0.0,2490.0,4
242,0.0,2490.0,4
243,-0.33674026,2543.0,4
244,-0.33674026,2543.0,4
245,-19.0,2543.0,4
