breach,sync_frame,participant_id,date,condition,pedestrian_gender,x,y,rts_x,rts_y,rts_distance_to_wall_middle,rts_orients_away,rts_distance_to_obstructing_actor
1,7047,1,2023-04-06,Baseline,Woman,728.056579589844,1347.83435058594,735.609245325401,1356.70091466429,,0,
1,7048,1,2023-04-06,Baseline,Woman,717.657470703125,1308.56652832031,732.584471269323,1352.51512775186,,0,
1,7049,1,2023-04-06,Baseline,Woman,726.936950683594,1347.70434570313,729.564066614416,1348.24621539124,,0,
1,7050,1,2023-04-06,Baseline,Woman,725.161560058594,1339.39343261719,726.552490709053,1343.9005487359,,0,
1,7051,1,2023-04-06,Baseline,Woman,725.861083984375,1346.33654785156,723.5536920109,1339.48425663785,,0,
1,7052,1,2023-04-06,Baseline,Woman,720.652160644531,1337.25085449219,720.571125803217,1335.00321240406,,0,
1,7053,1,2023-04-06,Baseline,Woman,711.409606933594,1311.84655761719,717.607772868439,1330.46302138738,,0,
1,7054,1,2023-04-06,Baseline,Woman,710.228149414063,1309.20495605469,714.666157141738,1325.86900504502,,0,
1,7055,1,2023-04-06,Baseline,Woman,705.977294921875,1299.89855957031,711.748364515402,1321.22618724051,,0,
1,7056,1,2023-04-06,Baseline,Woman,708.292053222656,1307.35852050781,708.856066814009,1316.53929648684,,0,
1,7057,1,2023-04-06,Baseline,Woman,710.369079589844,1319.34558105469,705.990552203302,1311.81279080441,,0,
1,7058,1,2023-04-06,Baseline,Woman,704.434631347656,1315.33349609375,703.152760705296,1307.05090372109,,0,
1,7059,1,2023-04-06,Baseline,Woman,704.116760253906,1315.01525878906,700.343320491337,1302.25770019697,,0,
1,7060,1,2023-04-06,Baseline,Woman,699.025329589844,1305.82702636719,697.562581250806,1297.43712817651,,0,
1,7061,1,2023-04-06,Baseline,Woman,696.449523925781,1302.40563964844,694.810644252499,1292.59305876557,,0,
1,7062,1,2023-04-06,Baseline,Woman,697.1044921875,1308.17956542969,692.087389229631,1287.7293133875,,0,
1,7063,1,2023-04-06,Baseline,Woman,697.109680175781,1311.56640625,689.392498691428,1282.8496787942,,0,
1,7064,1,2023-04-06,Baseline,Woman,694.235656738281,1304.47143554688,686.725479223116,1277.9579071188,,0,
1,7065,1,2023-04-06,Baseline,Woman,685.172668457031,1274.66430664063,684.085676801264,1273.05769141294,,0,
1,7066,1,2023-04-06,Baseline,Woman,678.743896484375,1253.478515625,681.472283478979,1268.15260896263,,0,
1,7067,1,2023-04-06,Baseline,Woman,677.100524902344,1249.42541503906,678.884336717862,1263.24603887876,,0,
1,7068,1,2023-04-06,Baseline,Woman,673.888671875,1240.29675292969,676.320716573116,1258.3410750417,,0,
1,7069,1,2023-04-06,Baseline,Woman,671.11181640625,1234.42431640625,673.780144777911,1253.44045187367,,0,
